ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
4G005,ANI,1.811623,9,0.070044,Barranquilla - Cartagena,Cartagena – Barranquilla – “Circunvalar de la Prosperidad”,11.013682,-74.880656,104,PUERTO COLOMBIA,ATLÁNTICO,8573
4G005,ANI,1.811623,9,0.070044,Barranquilla - Cartagena,Cartagena – Barranquilla – “Circunvalar de la Prosperidad”,10.543179,-75.460686,12,CARTAGENA DE INDIAS,BOLÍVAR,13001
3G008,ANI,2.796662,10,0.005163,Sincerin - Arjona - Turbaco - Cartagena,Ruta Caribe,10.338313,-75.418314,92,TURBACO,BOLÍVAR,13836
3G008,ANI,2.980858,10,0.002874,Sincerin - Arjona - Turbaco - Cartagena,Ruta Caribe,10.332981,-75.410213,92,TURBACO,BOLÍVAR,13836
3G008,ANI,2.10757,10,0.035068,Cartagena-Barranquilla (Cordialidad),Ruta Caribe,10.596021,-75.294129,29,SANTA CATALINA,BOLÍVAR,13673
<Null>,INVIAS-OTROS,5.872861,4,0,,,10.863689,-74.778801,72,MALAMBO,ATLÁNTICO,8433
3G008,ANI,6.538746,33,0,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.852572,-74.77184,71,MALAMBO,ATLÁNTICO,8433
3G008,ANI,3.291359,14,0.000997,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.771084,-74.75912,62,SANTO TOMÁS,ATLÁNTICO,8685
3G008,ANI,2.699465,12,0.006945,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.748465,-74.757868,58,SANTO TOMÁS,ATLÁNTICO,8685
4G018,ANI,2.403517,11,0.016238,Carreto - Barranquilla,Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso,10.646053,-74.760489,46,PONEDERA,ATLÁNTICO,8560
4G018,ANI,2.10757,10,0.035068,Carreto - Barranquilla,Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso,10.571941,-74.791658,38,PONEDERA,ATLÁNTICO,8560
3G008,ANI,2.403517,11,0.016238,Carreto-Cartagena,Ruta Caribe,10.136478,-75.25549,60,MAHATES,BOLÍVAR,13433
3G008,ANI,2.403517,11,0.016238,Sincerin - Arjona - Turbaco - Cartagena,Ruta Caribe,10.250748,-75.34756,78,ARJONA,BOLÍVAR,13052
<Null>,INVIAS-OTROS,2.403517,11,0.016238,,,9.380651,-75.682601,3,COVEÑAS,SUCRE,70221
4G016,ANI,2.10757,10,0.035068,San Pelayo-Lorica,IP – Antioquia – Bolívar,9.030229,-75.827469,25,COTORRA,CÓRDOBA,23300
4G016,ANI,11.873827,43,0,Cereté - San Pelayo,IP – Antioquia – Bolívar,8.920309,-75.812669,13,CERETÉ,CÓRDOBA,23162
4G016,ANI,1.93442,1,0.053062,Arboletes-Montería,IP – Antioquia – Bolívar,8.781073,-75.894108,60,MONTERÍA,CÓRDOBA,23001
4G026,ANI,2.403517,11,0.016238,Chigorodó-Turbo,Autopistas al Mar 2,8.076931,-76.673802,6,TURBO,ANTIOQUIA,5837
4G026,ANI,8.026514,30,0,Chigorodó-Turbo,Autopistas al Mar 2,8.005361,-76.640697,16,TURBO,ANTIOQUIA,5837
4G026,ANI,6.250831,24,0,Chigorodó-Turbo,Autopistas al Mar 2,7.873917,-76.635127,30,APARTADÓ,ANTIOQUIA,5045
