Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
18/03/2020,Bogotá,TRANSMILENIO/SITP,2382931,"-0,382670118",3860061,2499019,1188607,3
18/03/2020,Cartagena,TRANSCARIBE,47300,"-0,662142857",140000,95430,45203,3
18/03/2020,Barranquilla,TRANSMETRO,78355,"-0,45690898",144276,110000,52000,3
18/03/2020,Bucaramanga,METROLINEA,52453,"-0,505878252",106154,70267,33354,3
18/03/2020,Medellin,SITVA,1125075,"-0,408471076",1901978,1498727,780939,3
18/03/2020,Pereira,MEGABUS,65503,"-0,489139844",128221,100186,52276,3
19/03/2020,Bogotá,TRANSMILENIO/SITP,2223115,"-0,424072573",3860061,2499019,1188607,4
19/03/2020,Cartagena,TRANSCARIBE,40649,"-0,70965",140000,95430,45203,4
19/03/2020,Barranquilla,TRANSMETRO,71464,"-0,504671602",144276,110000,52000,4
19/03/2020,Bucaramanga,METROLINEA,46589,"-0,561118752",106154,70267,33354,4
19/03/2020,Medellin,SITVA,1062819,"-0,441203316",1901978,1498727,780939,4
19/03/2020,Pereira,MEGABUS,58300,"-0,54531629",128221,100186,52276,4
20/03/2020,Bogotá,TRANSMILENIO/SITP,511354,"-0,867526964",3860061,2499019,1188607,5
20/03/2020,Cartagena,TRANSCARIBE,35431,"-0,746921429",140000,95430,45203,5
20/03/2020,Barranquilla,TRANSMETRO,65347,"-0,547069506",144276,110000,52000,5
20/03/2020,Bucaramanga,METROLINEA,39213,"-0,630602709",106154,70267,33354,5
20/03/2020,Medellin,SITVA,981291,"-0,484068165",1901978,1498727,780939,5
20/03/2020,Pereira,MEGABUS,53345,"-0,583960506",128221,100186,52276,5
21/03/2020,Bogotá,TRANSMILENIO/SITP,378217,"-0,848653812",3860061,2499019,1188607,6
21/03/2020,Cartagena,TRANSCARIBE,2893,"-0,969684586",140000,95430,45203,6
21/03/2020,Barranquilla,TRANSMETRO,38442,"-0,650527273",144276,110000,52000,6
21/03/2020,Bucaramanga,METROLINEA,9253,"-0,868316564",106154,70267,33354,6
21/03/2020,Medellin,SITVA,212679,"-0,858093569",1901978,1498727,780939,6
21/03/2020,Pereira,MEGABUS,11538,"-0,884834208",128221,100186,52276,6
22/03/2020,Bogotá,TRANSMILENIO/SITP,255430,"-0,785101383",3860061,2499019,1188607,7
22/03/2020,Cartagena,TRANSCARIBE,1676,"-0,962922815",140000,95430,45203,7
22/03/2020,Barranquilla,TRANSMETRO,16880,"-0,675384615",144276,110000,52000,7
22/03/2020,Bucaramanga,METROLINEA,6257,"-0,812406308",106154,70267,33354,7
22/03/2020,Medellin,SITVA,124473,"-0,84061111",1901978,1498727,780939,7
22/03/2020,Pereira,MEGABUS,6518,"-0,875315632",128221,100186,52276,7
23/03/2020,Bogotá,TRANSMILENIO/SITP,302413,"-0,921655901",3860061,2499019,1188607,1
23/03/2020,Cartagena,TRANSCARIBE,1855,"-0,98675",140000,95430,45203,1
