departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
66,RISARALDA,66001,PEREIRA,EDS REENCAFE,TERPEL,Avenida 30 de Agosto No 52-364,GASOLINA EXTRA OXIGENADA,11530,1,05/04/2018 12:00:00 AM
76,VALLE DEL CAUCA,76736,SEVILLA,EL SURTIDOR,TERPEL,"Carrera. 48 No. 53-01,",GASOLINA CORRIENTE OXIGENADA,9250,1,05/02/2018 12:00:00 AM
23,CORDOBA,23001,MONTERIA,ESTACION URBINA,TERPEL,Carrera 14 No 13 - 22,BIODIESEL EXTRA,8490,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76520,PALMIRA,ESTACION DE SERVICIO Y SERVITECA LA PRIMERA,TERPEL,Carrera 1E No. 33D-18,GASOLINA CORRIENTE OXIGENADA,9060,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05318,GUARNE,ESTACION DE SERVICIO TERPEL LA GAROTA,TERPEL,KILOMETRO 19 AUTOPISTA MEDELLIN BOGOTA VEREDA 25 EL ZANGO,GASOLINA EXTRA OXIGENADA,11070,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25473,MOSQUERA,ESTACION DE SERVICIO MOSQUERA CON CALLE 5E,TERPEL,CARRERA 5E No. 5-90 ZERREZUELITA,BIODIESEL EXTRA,8115,1,05/07/2018 12:00:00 AM
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO COMBUSTIBLES EL PINDE,PETROMIL,EL PINDE,BIODIESEL EXTRA,6900,1,05/04/2018 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,EDS NUMAR VIA 40,TERPEL,CALLE 66 VIA 40 ESQUINA EN BARRANQUILLA,GASOLINA EXTRA OXIGENADA,11400,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA MILAGROSA,PETROBRAS,CALLE 22 No. 1-17,GASOLINA EXTRA OXIGENADA,12200,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05440,MARINILLA,ESTACION DE SERVICIOS TERPEL MARINILLA,TERPEL,CALLE 27 No. 36-03,GASOLINA CORRIENTE OXIGENADA,9072,1,05/11/2018 12:00:00 AM
05,ANTIOQUIA,05120,CACERES,ESTACION DE SERVICIO CANDILEJAS,ZEUSS,BARRIO VILLA DEL RIO VIA AL TIGRE,GASOLINA CORRIENTE OXIGENADA,7990,1,03/01/2016 12:00:00 AM
54,NORTE DE SANTANDER,54003,ABREGO,ESTACION DE SERVICIO MARIEN,COOMULPINORT,KDX 515-830 OROPOMA,GASOLINA CORRIENTE OXIGENADA,6900,1,05/02/2018 12:00:00 AM
